timestamp,h2s_ppm,co_ppm,temperature,humidity,exposure_time_s,scenario,danger_level
5,15.53,54.8,28.8,90.8,5,moyen,2
10,18.557,34.2,26.7,72.7,10,moyen,1
15,14.481,34.423,37.1,63.9,15,moyen,1
20,7.215,30.329,33.1,87.5,20,moyen,1
25,8.141,35.921,41.0,50.8,25,moyen,1
30,6.813,44.354,40.4,67.5,30,moyen,1
35,15.366,56.768,24.5,70.7,35,moyen,2
40,15.56,26.931,41.8,67.1,40,moyen,1
45,18.3,25.637,26.3,78.5,45,moyen,1
50,4.684,35.452,23.9,52.5,50,moyen,1
55,15.548,36.777,21.4,55.7,55,moyen,1
60,14.883,40.304,22.0,56.1,60,moyen,1
65,9.351,37.001,33.6,,65,moyen,1
70,8.993,56.604,26.5,91.1,70,moyen,2
75,8.341,34.301,29.5,79.2,75,moyen,1
80,12.149,55.025,22.4,58.5,80,moyen,2
85,12.561,49.394,19.2,58.3,85,moyen,1
90,9.096,28.471,24.9,57.0,90,moyen,1
95,11.538,21.603,20.4,55.7,95,moyen,1
100,14.44,32.92,29.4,57.1,100,moyen,1
105,9.129,27.431,26.9,72.1,105,moyen,1
110,11.486,47.549,34.8,50.0,110,moyen,1
115,8.008,47.319,37.4,74.9,115,moyen,1
120,15.934,34.277,20.3,91.8,120,moyen,1
125,18.373,25.916,40.5,50.0,125,moyen,1
130,6.268,44.865,24.8,87.3,130,moyen,1
135,13.612,45.299,36.2,54.0,135,moyen,1
140,15.643,32.769,23.3,66.8,140,moyen,1
145,6.442,28.495,29.8,76.7,145,moyen,1
150,15.95,67.911,27.2,70.0,150,moyen,2
155,11.144,34.495,36.2,50.0,155,moyen,1
160,5.439,38.053,24.2,83.0,160,moyen,1
165,22.502,33.781,,68.6,165,moyen,2
170,22.071,43.586,31.2,51.8,170,moyen,2
175,17.528,44.549,29.1,72.8,175,moyen,1
180,10.95,58.582,24.1,61.7,180,moyen,2
185,5.221,24.447,27.2,50.0,185,moyen,1
190,10.216,25.844,25.9,58.4,190,moyen,1
195,11.511,57.121,26.1,53.9,195,moyen,2
200,6.165,18.867,39.5,72.6,200,moyen,1
205,11.894,39.765,34.5,83.5,205,moyen,1
210,5.698,46.889,30.1,51.1,210,moyen,1
215,11.511,35.574,31.1,74.8,215,moyen,1
220,9.18,30.047,36.1,65.9,220,moyen,1
225,13.949,25.748,21.3,63.2,225,moyen,1
230,10.324,53.816,26.9,78.9,230,moyen,2
235,9.458,34.942,31.9,63.5,235,moyen,1
240,12.849,31.667,41.9,72.5,240,moyen,1
245,10.67,42.503,23.9,53.7,245,moyen,1
250,20.695,55.699,22.1,61.2,250,moyen,2
255,0.774,6.327,40.7,66.2,255,normal,0
260,0.466,11.242,32.7,54.2,260,normal,0
265,1.097,3.427,41.8,54.6,265,normal,0
270,0.797,12.781,,75.0,270,normal,0
275,1.715,10.704,32.6,70.8,275,normal,0
280,1.16,22.343,23.6,57.4,280,normal,0
285,1.315,20.897,23.3,58.0,285,normal,0
290,0.187,8.591,36.7,61.8,290,normal,0
295,1.018,20.536,19.4,96.7,295,normal,0
300,2.367,7.643,39.3,88.8,300,normal,0
305,1.917,2.303,41.9,51.8,305,normal,0
310,1.35,9.44,27.5,84.1,310,normal,0
315,0.428,0.0,34.7,53.0,315,normal,0
320,2.898,13.307,37.6,55.5,320,normal,0
325,0.766,13.021,23.4,74.8,325,normal,0
330,1.199,9.878,32.3,74.2,330,normal,0
335,0.981,9.875,20.2,,335,normal,0
340,2.442,13.322,24.4,54.9,340,normal,0
345,0.268,17.525,39.3,90.1,345,normal,0
350,0.0,0.0,38.7,83.2,350,normal,0
355,0.0,9.293,33.7,72.3,355,normal,0
360,2.385,15.226,20.1,69.6,360,normal,0
365,2.247,0.85,27.0,60.4,365,normal,0
370,1.362,15.472,35.4,69.2,370,normal,0
375,1.776,13.259,20.0,60.6,375,normal,0
380,0.0,1.674,34.4,50.0,380,normal,0
385,1.126,16.428,38.5,68.2,385,normal,0
390,0.509,15.418,29.5,75.6,390,normal,0
395,0.065,15.671,37.8,61.4,395,normal,0
400,1.392,16.164,34.3,72.9,400,normal,0
405,0.625,10.24,24.4,90.8,405,normal,0
410,0.944,7.544,37.2,76.5,410,normal,0
415,2.215,21.122,38.5,86.1,415,normal,0
420,0.906,1.153,35.0,85.7,420,normal,0
425,1.998,7.028,34.8,78.2,425,normal,0
430,1.074,5.492,32.9,82.3,430,normal,0
435,1.384,11.771,21.8,91.7,435,normal,0
440,2.365,8.381,39.0,50.0,440,normal,0
445,1.22,15.122,37.8,50.8,445,normal,0
450,0.51,8.869,26.1,83.9,450,normal,0
455,1.12,8.778,21.9,88.7,455,normal,0
460,0.657,5.455,38.0,69.0,460,normal,0
465,2.247,6.387,18.2,64.3,465,normal,0
470,0.928,8.088,32.8,93.2,470,normal,0
475,1.912,14.071,33.2,58.5,475,normal,0
480,2.172,1.489,33.3,71.9,480,normal,0
485,2.172,11.942,36.8,50.1,485,normal,0
490,0.662,21.597,36.3,71.1,490,normal,0
