horodatage,casque,zone,sensor1,sensor2,sensor3,sensor4,h2s_mesure,h2s_predit,dose_cumulee,temperature,humidite,prob_normal,prob_modere,prob_dangereux,niveau,label,temp_elevee,vitesse_kmh,satellites,altitude,hdop,rssi_wifi,exposition,latitude,longitude
2026-06-12 04:12:39,SIM_001,Galerie Nord — niveau -120 m,3.1,6.05,9.9,4.39,5.86,0.0,0.0,22.5,49.7,0.002,0.4969,0.5011,2,DANGEREUX,0,1.2,10,1440.0,2.0,-67,Faible,-10.717579732043724,25.47314578540697
2026-06-12 04:12:40,SIM_004,Galerie Sud — niveau -60 m,2.72,5.79,8.0,3.95,5.11,0.0,0.0,23.0,29.9,0.006,0.7665,0.2275,1,MODERE,0,2.5,7,1440.0,1.9,-71,Faible,-10.720089886042183,25.47400640781703
2026-06-12 04:12:40,SIM_002,Galerie Est — niveau -90 m,0.22,0.74,0.7,0.86,0.63,0.0,0.0,22.8,23.4,0.998,0.002,0.0,0,NORMAL,0,2.5,12,1440.0,1.4,-61,Faible,-10.716719515363325,25.473372704882294
2026-06-12 04:12:40,SIM_003,Puits principal — niveau -150 m,0.87,1.91,2.5,1.64,1.73,0.0,0.0,22.5,42.4,0.008,0.9279,0.0641,1,MODERE,0,1.1,6,1440.0,1.5,-59,Faible,-10.71621181754413,25.47361160205871
2026-06-12 04:12:42,SIM_004,Galerie Sud — niveau -60 m,4.88,11.0,15.7,4.8,9.09,0.0,0.0,22.5,16.3,0.002,0.02,0.978,2,DANGEREUX,0,1.2,12,1440.0,1.7,-60,Faible,-10.720131828902693,25.473848775879482
2026-06-12 04:12:42,SIM_002,Galerie Est — niveau -90 m,0.0,0.04,0.0,0.44,0.12,0.0,0.0,22.4,27.8,1.0,0.0,0.0,0,NORMAL,0,1.9,11,1440.0,1.5,-63,Faible,-10.716707556500108,25.473127480871117
2026-06-12 04:12:42,SIM_001,Galerie Nord — niveau -120 m,2.19,4.62,6.3,3.32,4.11,0.0,0.0,22.5,43.7,0.006,0.8024,0.1916,1,MODERE,0,1.2,8,1440.0,1.9,-63,Faible,-10.717253308404711,25.473125617749332
2026-06-12 04:12:42,SIM_003,Puits principal — niveau -150 m,0.68,1.58,2.1,1.41,1.44,0.0,0.0,23.0,27.8,0.012,0.9823,0.0057,1,MODERE,0,0.1,6,1440.0,1.6,-72,Faible,-10.716163141640692,25.473516092752757
2026-06-12 04:12:43,SIM_001,Galerie Nord — niveau -120 m,2.34,6.46,7.4,3.23,4.86,0.0,0.0,22.9,47.3,0.008,0.8634,0.1286,1,MODERE,0,2.8,9,1440.0,1.6,-63,Faible,-10.717356194471835,25.4732732746051
2026-06-12 04:12:43,SIM_002,Galerie Est — niveau -90 m,0.0,0.07,0.0,0.42,0.12,0.0,0.0,23.3,37.6,1.0,0.0,0.0,0,NORMAL,0,1.6,11,1440.0,1.0,-63,Faible,-10.716615728170966,25.473332958244328
2026-06-12 04:12:44,SIM_004,Galerie Sud — niveau -60 m,4.27,9.27,13.0,5.78,8.08,0.0,0.0,23.1,29.3,0.0,0.0,1.0,2,DANGEREUX,0,0.3,6,1440.0,1.0,-56,Faible,-10.719820086697817,25.47417276633318
2026-06-12 04:12:44,SIM_003,Puits principal — niveau -150 m,2.26,6.23,7.0,3.18,4.67,0.0,0.0,22.9,45.8,0.008,0.8488,0.1432,1,MODERE,0,0.4,6,1440.0,1.1,-55,Faible,-10.716376331497486,25.473324884031445
2026-06-12 04:12:45,SIM_003,Puits principal — niveau -150 m,0.94,2.16,2.8,1.46,1.84,0.0,0.0,22.6,15.3,0.025,0.1139,0.8611,2,DANGEREUX,0,2.1,8,1440.0,1.7,-55,Faible,-10.716284942776412,25.473683564248237
2026-06-12 04:12:45,SIM_001,Galerie Nord — niveau -120 m,4.72,9.28,14.5,6.27,8.69,0.0,0.0,22.2,50.5,0.0,0.012,0.988,2,DANGEREUX,0,1.8,8,1440.0,1.1,-65,Faible,-10.717527785798115,25.473663462030178
2026-06-12 04:12:45,SIM_002,Galerie Est — niveau -90 m,0.0,0.04,0.0,0.43,0.12,0.0,0.0,22.4,27.8,1.0,0.0,0.0,0,NORMAL,0,2.4,10,1440.0,1.8,-55,Faible,-10.717081342811062,25.473533322572266
2026-06-12 04:12:45,SIM_004,Galerie Sud — niveau -60 m,3.8,8.32,13.3,5.98,7.85,0.0,0.0,22.4,42.7,0.0,0.0,1.0,2,DANGEREUX,0,3.0,10,1440.0,1.4,-58,Faible,-10.719778901332306,25.474043385346864
2026-06-12 04:12:46,SIM_002,Galerie Est — niveau -90 m,0.0,0.03,0.0,0.44,0.12,0.0,0.0,22.4,27.8,1.0,0.0,0.0,0,NORMAL,0,0.4,9,1440.0,1.8,-64,Faible,-10.7167253831456,25.473473553486677
2026-06-12 04:12:47,SIM_001,Galerie Nord — niveau -120 m,4.72,9.29,14.6,6.26,8.72,0.0,0.0,22.2,50.5,0.0,0.0164,0.9836,2,DANGEREUX,0,2.9,6,1440.0,1.0,-60,Faible,-10.717658385044661,25.473237127419214
2026-06-12 04:12:47,SIM_004,Galerie Sud — niveau -60 m,1.42,3.66,8.23,3.2,4.13,0.0,0.0,22.3,50.2,0.004,0.4685,0.5275,2,DANGEREUX,0,0.7,9,1440.0,2.0,-61,Faible,-10.720142201999176,25.474132164980183
